,Accession Number,Sequence Length,Description
0,PG051493,42,JP 2022538886-A/431: TRANSGENIC MAMMALS AND METHODS OF USE
1,PG051489,51,JP 2022538886-A/427: TRANSGENIC MAMMALS AND METHODS OF USE
2,PG051487,81,JP 2022538886-A/425: TRANSGENIC MAMMALS AND METHODS OF USE
3,PG051483,57,JP 2022538886-A/421: TRANSGENIC MAMMALS AND METHODS OF USE
4,PG051479,42,JP 2022538886-A/417: TRANSGENIC MAMMALS AND METHODS OF USE
5,PG051477,81,JP 2022538886-A/415: TRANSGENIC MAMMALS AND METHODS OF USE
6,PG051467,69,JP 2022538886-A/405: TRANSGENIC MAMMALS AND METHODS OF USE
7,PG051466,90,JP 2022538886-A/404: TRANSGENIC MAMMALS AND METHODS OF USE
8,PG051460,38,JP 2022538886-A/398: TRANSGENIC MAMMALS AND METHODS OF USE
9,PG051459,38,JP 2022538886-A/397: TRANSGENIC MAMMALS AND METHODS OF USE
